# Case: R.ST0 - All Stations Combined
#
Station,X/H,LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
8,2.5,3,0.15,-0.18,0.008,6.75,4.18,-0.7,0.98,0.49,-0.61,-0.75
8,2.5,4,0.2,-0.171,0.012,7.74,4.73,-1.2,1.75,0.72,-1.01,-1.06
8,2.5,5,0.3,-0.141,0.016,10.17,6.31,-2.19,3.32,1.35,-1.43,-1.92
8,2.5,6,0.4,-0.095,0.013,13.55,7.92,-3.48,4.62,1.99,-2.68,-2.29
8,2.5,7,0.5,-0.012,0.002,19.85,10.5,-6.12,2.6,2.1,-2.51,-2.86
8,2.5,8,0.6,0.093,-0.015,21.04,12.43,-7.42,-6.53,-0.66,0.52,-1.46
8,2.5,9,0.7,0.226,-0.038,16.9,12.1,-6.94,-6.11,-1.73,1.95,-0.11
8,2.5,10,0.8,0.341,-0.049,15.96,11.95,-6.74,-1.49,-1.53,1.4,1.52
8,2.5,11,0.9,0.461,-0.056,16.26,10.77,-6.4,-1.22,-2.1,1.69,2.39
8,2.5,12,1.0,0.599,-0.056,14.74,8.36,-4.93,-5.83,-3.34,3.24,3.03
8,2.5,13,1.1,0.707,-0.052,9.18,5.32,-2.81,-4.7,-2.01,1.99,2.14
8,2.5,14,1.15,0.74,-0.053,7.12,4.09,-1.98,-2.74,-1.17,1.21,1.33
8,2.5,15,1.2,0.774,-0.054,5.06,2.87,-1.15,-0.79,-0.32,0.44,0.53
8,2.5,16,1.3,0.811,-0.054,3.99,2.29,-0.97,-0.32,-0.16,0.2,0.26
8,2.5,17,1.4,0.838,-0.053,3.49,1.95,-0.77,-0.37,-0.13,0.16,0.12
8,2.5,18,1.5,0.863,-0.055,3.1,1.73,-0.7,-0.29,-0.11,0.1,0.09
8,2.5,19,1.7,0.902,-0.055,2.47,1.4,-0.48,-0.27,-0.08,0.08,0.1
8,2.5,20,2.0,0.948,-0.054,1.8,0.97,-0.27,-0.27,-0.09,0.1,0.07
8,2.5,21,2.4,0.992,-0.049,0.88,0.53,-0.01,-0.11,-0.03,0.04,0.02
8,2.5,22,2.8,1.006,-0.044,0.5,0.34,0.09,0.02,0.0,0.0,0.0
8,2.5,23,3.2,1.001,-0.04,0.45,0.29,0.09,0.02,0.01,0.0,0.0
8,2.5,24,3.6,1.0,-0.036,0.39,0.26,0.05,0.02,0.01,0.0,0.0
8,2.5,25,4.0,0.999,-0.032,0.39,0.27,0.06,0.01,0.01,0.0,0.0
8,2.5,26,5.0,0.995,-0.028,0.41,0.28,0.07,0.01,0.0,0.0,0.0
8,2.5,27,6.0,0.99,-0.024,0.42,0.29,0.08,0.01,0.0,0.0,0.0
8,2.5,28,7.5,0.992,-0.019,0.4,0.28,0.08,0.01,0.01,0.0,0.0
8,2.5,29,8.2,0.914,-0.01,2.13,1.46,0.57,-0.47,-0.19,-0.14,-0.13
9,3.0,2,0.1,-0.198,-0.003,7.56,6.1,-1.67,2.34,1.57,-1.77,-1.45
