"U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
44.69,-1.4406,-6.421e-22,0.063144,0.0762,0.063144,0
44.69,-1.4392,-6.5084e-22,0.063144,0.0762,0.063144,0
44.707,-1.2988,1.6253e-20,0.068091,0.0762,0.068091,0
44.707,-1.2976,1.6294e-20,0.068091,0.0762,0.068091,0
44.723,-1.1596,7.7231e-21,0.073294,0.0762,0.073294,0
44.723,-1.1584,7.6698e-21,0.073294,0.0762,0.073294,0
44.737,-1.0217,4.0476e-21,0.07877,0.0762,0.07877,0
44.737,-1.0206,3.9951e-21,0.07877,0.0762,0.07877,0
44.747,-0.8867,-5.3656e-21,0.084561,0.0762,0.084561,0
44.747,-0.88569,-5.4696e-21,0.084561,0.0762,0.084561,0
44.685,-0.76551,-2.2366e-20,0.0904,0.0762,0.0904,0
44.682,-0.76447,-2.2273e-20,0.0904,0.0762,0.0904,0
44.262,-0.66313,5.9737e-21,0.09451,0.0762,0.09451,0
44.252,-0.66187,6.1787e-21,0.09451,0.0762,0.09451,0
43.088,-0.56122,1.2921e-20,0.097916,0.0762,0.097916,0
43.066,-0.55973,1.283e-20,0.097916,0.0762,0.097916,0
41.37,-0.46156,-3.7598e-21,0.10074,0.0762,0.10074,0
41.34,-0.45996,-3.8812e-21,0.10074,0.0762,0.10074,0
39.716,-0.38142,-2.3475e-21,0.10308,0.0762,0.10308,0
39.684,-0.37987,-2.3381e-21,0.10308,0.0762,0.10308,0
38.313,-0.31627,-2.8246e-21,0.10502,0.0762,0.10502,0
38.279,-0.31473,-2.7221e-21,0.10502,0.0762,0.10502,0
37.073,-0.26231,4.6708e-21,0.10662,0.0762,0.10662,0
37.036,-0.26077,4.6645e-21,0.10662,0.0762,0.10662,0
35.936,-0.21764,-1.7796e-21,0.10796,0.0762,0.10796,0
35.895,-0.21609,-1.5236e-21,0.10796,0.0762,0.10796,0
34.866,-0.17999,1.5608e-20,0.10906,0.0762,0.10906,0
34.818,-0.17842,1.6302e-20,0.10906,0.0762,0.10906,0
33.838,-0.1483,2.8562e-20,0.10997,0.0762,0.10997,0
33.782,-0.1467,2.7926e-20,0.10997,0.0762,0.10997,0
32.836,-0.12157,-1.9109e-21,0.11073,0.0762,0.11073,0
32.77,-0.11995,-3.4408e-21,0.11073,0.0762,0.11073,0
